City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Delhi,305.1734009,305.1734009,08-2013
Hyderabad,297.2370911,296.500824,08-2013
Jaipur,302.6379089,302.6379089,08-2013
Kolkata,301.4112854,299.9234009,08-2013
Mumbai,298.352417,298.352417,08-2013
Pune,298.352417,298.352417,08-2013
Ahmedabad,305.686676,304.3933411,09-2013
Bangalore,296.7799988,296.2225037,09-2013
Bhopal,301.1933289,299.2841797,09-2013
Bhubaneswar,297.1016846,297.1016846,09-2013
Chennai,300.6741638,300.6741638,09-2013
Delhi,303.4349976,303.4349976,09-2013
Hyderabad,298.0125122,297.0541687,09-2013
Jaipur,302.8233337,302.8233337,09-2013
Kolkata,301.1066589,299.7141724,09-2013
Mumbai,299.0133362,299.0133362,09-2013
Pune,299.0133362,299.0133362,09-2013
Ahmedabad,304.6637268,302.8645325,10-2013
Bangalore,296.7621155,296.6976013,10-2013
Bhopal,299.5548401,297.9733887,10-2013
Bhubaneswar,295.3605042,295.3605042,10-2013
Chennai,300.135498,300.135498,10-2013
Delhi,300.6201782,300.6201782,10-2013
Hyderabad,297.4153137,296.9193726,10-2013
Jaipur,300.6120911,300.6120911,10-2013
Kolkata,299.6298523,298.1088867,10-2013
Mumbai,300.0177612,300.0177612,10-2013
Pune,300.0177612,300.0177612,10-2013
Ahmedabad,299.3616638,297.9841614,11-2013
Bangalore,297.1199951,295.4066772,11-2013
Bhopal,296.2391663,294.6533508,11-2013
Bhubaneswar,293.2600098,293.2600098,11-2013
Chennai,298.4899902,298.4899902,11-2013
Delhi,294.6366882,294.6366882,11-2013
Hyderabad,294.793335,294.4058533,11-2013
Jaipur,294.9150085,294.9150085,11-2013
Kolkata,296.042511,295.7666626,11-2013
Mumbai,298.1433411,298.1433411,11-2013
Pune,298.1433411,298.1433411,11-2013
Ahmedabad,293.5467834,293.1427612,12-2013
Bangalore,296.1540527,293.8475952,12-2013
Bhopal,293.1951599,292.4951782,12-2013
Bhubaneswar,291.6871033,291.6871033,12-2013
Chennai,296.7362976,296.7362976,12-2013
Delhi,290.4596863,290.4596863,12-2013
Hyderabad,293.625,293.5782166,12-2013
Jaipur,291.0249939,291.0249939,12-2013
Kolkata,294.3427429,294.1524353,12-2013
Mumbai,296.5838623,296.5838623,12-2013
Pune,296.5838623,296.5838623,12-2013
Ahmedabad,292.5637207,291.5628967,01-2014
Bangalore,297.0709839,294.5983887,01-2014
Bhopal,291.2556458,291.2120972,01-2014
Bhubaneswar,291.5854797,291.5854797,01-2014
Chennai,295.9967651,295.9967651,01-2014
Delhi,290.8104858,290.8104858,01-2014
Hyderabad,294.6169434,294.260498,01-2014
Jaipur,290.2306519,290.2306519,01-2014
Kolkata,293.9387207,293.5016174,01-2014
Mumbai,296.3241882,296.3241882,01-2014
Pune,296.3241882,296.3241882,01-2014
Ahmedabad,295.0187683,294.8616028,02-2014
Bangalore,298.1678772,297.1285706,02-2014
Bhopal,293.8830261,293.2134094,02-2014
Bhubaneswar,294.0089417,294.0089417,02-2014
Chennai,297.28125,297.28125,02-2014
Delhi,291.4428711,291.4428711,02-2014
Hyderabad,297.0142822,295.6982117,02-2014
Jaipur,291.6080322,291.6080322,02-2014
Kolkata,296.1169739,295.7339478,02-2014
Mumbai,297.1178589,297.1178589,02-2014
Pune,297.1178589,297.1178589,02-2014
Ahmedabad,300.2887268,300.2145081,03-2014
Bangalore,300.4717712,300.1669312,03-2014
Bhopal,299.2346802,298.7846985,03-2014
Bhubaneswar,298.5637207,298.5637207,03-2014
Chennai,300.0750122,300.0750122,03-2014
Delhi,295.3838806,295.3838806,03-2014
Hyderabad,300.79599,300.2524109,03-2014
Jaipur,297.010498,297.010498,03-2014
Kolkata,300.8572693,300.2016296,03-2014
Mumbai,300.2346802,300.2346802,03-2014
Pune,300.2346802,300.2346802,03-2014
Ahmedabad,305.667511,305.3816833,04-2014
