system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00010000000000000e81,India,Punjab,Kapurthala,2018-01-01,6.872442825983636
0_00010000000000000e82,India,Punjab,Ludhiana,2018-01-01,7.028389946495817
0_00010000000000000e85,India,Punjab,Sangrur,2018-01-01,7.07375568725334
0_00010000000000000e8c,India,Rajasthan,Ajmer,2018-01-01,6.458704969736298
0_00010000000000000e8d,India,Rajasthan,Alwar,2018-01-01,6.862525501617671
0_00010000000000000e8e,India,Rajasthan,Banswara,2018-01-01,7.427125515976594
0_00010000000000000e8f,India,Rajasthan,Barmer,2018-01-01,5.78004234518323
0_00010000000000000e91,India,Rajasthan,Bhilwara,2018-01-01,6.7657214999234405
0_00010000000000000e92,India,Rajasthan,Bikaner,2018-01-01,6.213523506606976
0_00010000000000000e93,India,Rajasthan,Bundi,2018-01-01,7.640958211738829
0_00010000000000000e94,India,Rajasthan,Chittaurgarh,2018-01-01,6.790099513999443
0_00010000000000000e95,India,Rajasthan,Churu,2018-01-01,6.177361919304061
0_00010000000000000e97,India,Rajasthan,Dungarpur,2018-01-01,6.882174358243593
0_00010000000000000e9a,India,Rajasthan,Jaisalmer,2018-01-01,6.446840236424894
0_00010000000000000e9b,India,Rajasthan,Jalor,2018-01-01,6.368261699376921
0_00010000000000000e9c,India,Rajasthan,Jhalawar,2018-01-01,7.513961696292605
0_00010000000000000e9d,India,Rajasthan,Jhunjhunun,2018-01-01,6.406475476455723
0_00010000000000000e9e,India,Rajasthan,Jodhpur,2018-01-01,5.732462197408005
0_00010000000000000ea0,India,Rajasthan,Nagaur,2018-01-01,5.851893452950285
0_00010000000000000ea1,India,Rajasthan,Pali,2018-01-01,6.50726083113753
0_00010000000000000ea3,India,Rajasthan,Sikar,2018-01-01,6.109594515584449
0_00010000000000000ea4,India,Rajasthan,Sirohi,2018-01-01,6.478408571296022
0_00010000000000000ea5,India,Rajasthan,Tonk,2018-01-01,7.199037102665883
0_00010000000000000eac,India,Sikkim,East,2018-01-01,1.988455285159954
0_00010000000000000ead,India,Sikkim,North Sikkim,2018-01-01,1.0151399517080415
0_00010000000000000eae,India,Sikkim,South Sikkim,2018-01-01,1.7808954944768538
0_00010000000000000eaf,India,Sikkim,West Sikkim,2018-01-01,1.6628401704507678
0_00010000000000000eb0,India,Tamil Nadu,Thoothukudi,2018-01-01,39.58469683544649
0_00010000000000000eb1,India,Tamil Nadu,Coimbatore,2018-01-01,30.425830141299002
0_00010000000000000eb2,India,Tamil Nadu,Dharmapuri,2018-01-01,26.25332390571705
0_00010000000000000eb3,India,Tamil Nadu,Virudhunagar,2018-01-01,35.233069497814505
0_00010000000000000eb4,India,Tamil Nadu,Kanniyakumari,2018-01-01,40.92811047179912
0_00010000000000000eb5,India,Tamil Nadu,Nilgiris,2018-01-01,26.664886352254086
0_00010000000000000eb6,India,Tamil Nadu,Erode,2018-01-01,30.106181077869696
0_00010000000000000eb7,India,Tamil Nadu,Pudukkottai,2018-01-01,36.790926861477715
0_00010000000000000eb8,India,Tamil Nadu,Dindigul,2018-01-01,33.0423697979071
0_00010000000000000eb9,India,Tamil Nadu,Ramanathapuram,2018-01-01,40.24294123163627
0_00010000000000000ebc,India,Tamil Nadu,Sivaganga,2018-01-01,37.351669343162506
0_00010000000000000ebe,India,Tamil Nadu,Tirunelveli Kattabo,2018-01-01,37.67779317851223
0_00010000000000000ec0,India,Tamil Nadu,Chennai,2018-01-01,34.90047354360613
0_00010000000000000ecf,India,Tripura,West Tripura,2018-01-01,20.307115104062625
0_00010000000000000ed1,India,West Bengal,Bankura,2018-01-01,15.126581954697725
0_00010000000000000ed2,India,West Bengal,Barddhaman,2018-01-01,15.414333455607686
0_00010000000000000ed3,India,West Bengal,Birbhum,2018-01-01,14.208520179898969
0_00010000000000000ed4,India,West Bengal,Darjiling,2018-01-01,5.470603318869381
0_00010000000000000ed5,India,West Bengal,Haora,2018-01-01,17.16789267745921
0_00010000000000000ed6,India,West Bengal,Hugli,2018-01-01,16.782882930588656
0_00010000000000000ed7,India,West Bengal,Jalpaiguri,2018-01-01,9.260074191982415
0_00010000000000000ed8,India,West Bengal,Kochbihar,2018-01-01,16.576189320727778
0_00010000000000000ed9,India,West Bengal,Maldah,2018-01-01,14.572278681259055
0_00010000000000000eda,India,West Bengal,Murshidabad,2018-01-01,14.959045370876613
0_00010000000000000edb,India,West Bengal,Nadia,2018-01-01,16.416329602549897
0_00010000000000000edc,India,West Bengal,Puruliya,2018-01-01,13.75853983960305
0_00010000000000000edf,India,West Bengal,Kolkata,2018-01-01,17.075658746769275
0_00010000000000000ee0,India,West Bengal,North 24 Parganas,2018-01-01,17.6654941465531
0_00010000000000000ee1,India,West Bengal,South 24 Parganas,2018-01-01,17.895230037630952
0_00010000000000000ee4,India,Arunachal Pradesh,East Siang,2018-01-01,15.859931490715063
0_00010000000000000ee5,India,Arunachal Pradesh,Lohit,2018-01-01,11.6990885359338
0_00010000000000000ee6,India,Arunachal Pradesh,Lower Subansiri,2018-01-01,13.791651794399954
0_00010000000000000ee7,India,Arunachal Pradesh,Tirap,2018-01-01,22.590471124731632
0_00010000000000000ee8,India,Arunachal Pradesh,West Siang,2018-01-01,16.258220288758928
0_00010000000000000ee9,India,Arunachal Pradesh,Changlang,2018-01-01,15.613831282113836
0_00010000000000000eea,India,Arunachal Pradesh,Lower Dibang Valley,2018-01-01,11.850627406523785
