City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,302.7627869,302.7627869,2012_Q3,12 NARODA
Ahmedabad,302.7627869,302.7627869,2012_Q3,11 SARDARNAGAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,10 S.P.STADIUM
Ahmedabad,302.7627869,302.7627869,2012_Q3,09 NARANPURA
Ahmedabad,304.8250122,302.7627869,2012_Q3,08 THALTEJ
Ahmedabad,302.7627869,302.7627869,2012_Q3,07 GHATLODIA
Ahmedabad,302.7627869,302.7627869,2012_Q3,06 NEW WADAJ
Ahmedabad,302.7627869,302.7627869,2012_Q3,05 RANIP
Ahmedabad,302.7627869,302.7627869,2012_Q3,04 SABARMATI
Ahmedabad,302.7627869,302.7627869,2012_Q3,03 CHANDKHEDA
Ahmedabad,302.7627869,302.7627869,2012_Q3,02 CHANDLODIA
Ahmedabad,304.8250122,302.7627869,2012_Q3,01 GOTA
Ahmedabad,298.2141418,298.2141418,2012_Q4,48 RAMOL HATHIJAN
Ahmedabad,298.2141418,298.2141418,2012_Q4,47 VATVA
Ahmedabad,298.2141418,298.2141418,2012_Q4,46 LAMBHA
Ahmedabad,298.2141418,298.2141418,2012_Q4,45 ISANPUR
Ahmedabad,298.2141418,298.2141418,2012_Q4,44 KHOKHRA
Ahmedabad,298.2141418,298.2141418,2012_Q4,43 BHAIPURA HATKESHWAR
Ahmedabad,298.2141418,298.2141418,2012_Q4,42 INDRAPURI
Ahmedabad,298.2141418,298.2141418,2012_Q4,41 VASTRAL
Ahmedabad,298.2141418,298.2141418,2012_Q4,40 ODHAV
Ahmedabad,298.2141418,298.2141418,2012_Q4,39 AMRAIWADI
Ahmedabad,298.2141418,298.2141418,2012_Q4,38 GOMTIPUR
Ahmedabad,298.2141418,298.2141418,2012_Q4,37 MANINAGAR
Ahmedabad,298.2141418,298.2141418,2012_Q4,36 DANILIMDA
Ahmedabad,298.2141418,298.2141418,2012_Q4,35 BAHERAMPURA
Ahmedabad,299.8600464,298.2141418,2012_Q4,34 MAKTAMPURA
Ahmedabad,299.8600464,298.2141418,2012_Q4,33 SARKHEJ
Ahmedabad,298.2141418,298.2141418,2012_Q4,32 VEJALPUR
Ahmedabad,298.2141418,298.2141418,2012_Q4,31 VASNA
Ahmedabad,298.2141418,298.2141418,2012_Q4,30 PALDI
Ahmedabad,298.2141418,298.2141418,2012_Q4,29 JAMALPUR
Ahmedabad,298.2141418,298.2141418,2012_Q4,28 KHADIA
Ahmedabad,298.2141418,298.2141418,2012_Q4,27 SARASPUR-RAKHIYAL
Ahmedabad,298.2141418,298.2141418,2012_Q4,26 BAPUNAGAR
Ahmedabad,298.2141418,298.2141418,2012_Q4,25 VIRATNAGAR
Ahmedabad,298.2141418,298.2141418,2012_Q4,24 NIKOL
Ahmedabad,298.2141418,298.2141418,2012_Q4,23 THAKKARBAPANAGAR
Ahmedabad,298.2141418,298.2141418,2012_Q4,22 INDIA COLONY
Ahmedabad,298.2141418,298.2141418,2012_Q4,21 DARIYAPUR
Ahmedabad,299.8600464,298.2141418,2012_Q4,20 JODHPUR
Ahmedabad,299.8600464,298.2141418,2012_Q4,19 BODAKDEV
Ahmedabad,298.2141418,298.2141418,2012_Q4,18 NAVRANGPURA
